WKT,PLANID,LAAG,VOOR,PLAN,OID_,LAAG_1,LEGENDA,LEGEN_SVBP
"POLYGON ((95850.594 434559.275,95844.78 434502.461,95815.61 434512.31,95809.47 434495.03,95805.907 434484.214,95795.754 434453.395,95759.86 434465.71,95738.82 434472.83,95733.26 434474.7,95733.941 434476.78,95730.471999 434478.093,95740.091 434507.284071,95740.636 434508.938,95762.707 434575.918,95795.199977 434569.764934,95850.594 434559.275))","537",DB_PERIFERE_DETHNDL,537.PDF#18,537_Plankaart.pdf,"30",DB_PERIFERE_DETHNDL,overige,overige
"POLYGON ((95528.013 434527.642,95846.057 434407.406,95857.544 434440.130999,95885.840618 434430.727629,95894.721708 434428.378275,95900.833784 434427.666459,95904.253467 434427.321184,95910.738 434426.941,95911.112389 434426.919006,95913.532156 434426.787805,95917.07298 434426.725306,95920.266957 434426.813876,95922.3 434426.994,95925.951333 434427.31665,95924.884 434417.451,95954.088 434394.418,95961.8265 434381.9345,95961.847 434381.896,95961.848519 434381.89335,95961.863479 434381.862014,95961.87392 434381.840265,95963.757136 434377.956913,95963.766649 434377.937295,95964.063549 434377.217361,95965.343655 434374.113315,95965.443999 434373.869999,95965.432362 434373.867731,95940.08 434368.927,95933.99 434367.932,95930.547999 434367.407999,95927.868 434367.121999,95922.304 434366.781,95920.291 434366.726,95912.571 434366.772,95910.993 434366.821999,95898.83 434367.535,95883.886 434324.961999,95623.083 434423.652,95623.092 434423.676,95501.262999 434469.873999,95240.434999 434564.3115,95235.057682 434566.174504,95233.817999 434566.604,95230.950204 434567.520348,95229.470999 434567.993,95165.107884 434590.155933,95147.977513 434619.88489,95146.640776 434622.766835,95146.586855 434622.971561,95146.303541 434624.047267,95145.831398 434625.839895,95145.79704 434626.264481,95145.690746 434627.577867,95145.575048 434629.007396,95145.636986 434629.650426,95145.828998 434631.644073,95145.879718 434632.170617,95146.01555 434632.656099,95146.561062 434634.606019,95146.73591 434635.230963,95146.852691 434635.472951,95148.116953 434638.093038,95148.253339 434638.317753,95148.438042 434638.610925,95148.628354 434638.900487,95148.558334 434638.936162,95147.879992 434639.290015,95141.457992 434643.307015,95146.728 434654.66,95145.458999 434655.275,95138.598 434658.911999,95135.647999 434660.6,95126.553 434666.369,95117.541999 434673.044999,95109.186 434680.283999,95101.538 434687.776999,95094.517 434695.431999,95092.416999 434697.905999,95086.181 434705.671,95082.985 434709.987999,95041.258 434768.343,95040.455 434769.467,95054.483 434776.414,95074.203999 434786.18,95064.389 434799.905866,95059.70677 434806.265965,95054.7975 434812.452499,95053.518077 434813.957212,95053.352128 434814.188942,95052.820536 434814.81884,95051.277773 434816.592003,95050.272013 434817.774863,95049.657903 434818.453788,95048.897385 434819.327883,95046.541604 434821.925021,95046.102243 434822.384718,95045.585499 434822.956,95042.643803 434826.003229,95041.200065 434827.513789,95040.957913 434827.749599,95040.666398 434828.051572,95036.261539 434832.322988,95035.661475 434832.907339,95035.619085 434832.945979,95035.581859 434832.982078,95030.534073 434837.581353,95030.513839 434837.599789,95025.29536 434842.046763,95025.252782 434842.080694,95019.188286 434846.913569,95019.166378 434846.929744,95012.905999 434851.552,94839.904459 435164.206259,94838.285 435167.133,94848.026537 435172.635491,94849.768104 435173.618265,94853.251925 435175.587102,94854.99503 435176.571726,94859.221867 435178.959236,94865.566 435182.543,94902.001 435114.1085,94955.2405 435014.1095,94987.42611 434953.667003,95008.491 434914.1085,95019.125 434894.120999,95020.853865 434890.745759,95021.652188 434889.187204,95024.155 434884.240999,95025.428016 434881.704715,95026.678 434879.157,95028.528588 434875.129598,95032.436973 434871.781998,95037.868859 434867.129491,95042.630412 434862.767133,95046.936703 434858.821868,95055.721999 434850.216,95057.316999 434848.637,95064.200387 434841.48414,95070.887 434834.146999,95072.084 434832.788,95076.478478 434827.744569,95080.237499 434823.043692,95080.656154 434822.52014,95082.841999 434819.645,95084.296499 434817.640386,95086.621331 434814.436265,95090.189999 434809.081,95141.572 434738.031999,95143.915091 434735.03718,95146.48 434732.23,95150.235759 434728.600499,95154.163682 434725.158053,95159.214916 434721.210174,95164.493248 434717.5715,95169.766715 434714.309044,95175.173039 434711.271816,95181.256724 434708.181104,95187.475957 434705.373106,95199.398485 434700.226755,95201.249036 434699.455763,95205.2059 434698.163088,95209.297984 434697.036525,95213.241032 434696.0788,95217.189626 434695.204743,95219.346 434694.766,95224.016535 434693.815067,95226.137069 434693.391019,95230.116354 434692.663485,95234.231866 434691.954162,95238.384413 434691.272549,95242.395424 434690.635805,95246.725743 434689.968286,95250.796593 434689.356916,95283.234 434684.570999,95284.665943 434681.486162,95284.994831 434680.777639,95286.498 434676.875,95286.739999 434676.151999,95288.088059 434671.300006,95289.056884 434666.358297,95289.640672 434661.356468,95289.828339 434654.45354,95289.291 434647.568999,95289.264687 434647.398124,95289.212062 434647.059869,95289.159436 434646.725106,95289.106813 434646.39384,95289.054188 434646.066066,95289.001562 434645.741787,95288.948936 434645.421001,95288.917592 434645.232013,95288.896312 434645.10371,95288.843688 434644.789914,95288.791061 434644.47961,95288.738436 434644.172802,95288.685813 434643.869488,95288.633188 434643.569668,95288.580562 434643.273341,95288.527936 434642.980509,95288.475312 434642.691172,95288.422688 434642.405328,95288.370063 434642.122979,95288.317436 434641.844122,95288.264812 434641.568762,95288.212187 434641.296894,95288.159562 434641.02852,95288.106937 434640.763643,95288.054312 434640.502258,95288.001688 434640.244367,95287.949063 434639.989971,95287.896438 434639.739068,95287.843812 434639.49166,95287.791187 434639.247746,95287.738563 434639.007326,95287.685938 434638.7704,95287.633311 434638.536968,95287.606999 434638.421999,95279.453999 434617.230999,95528.013 434527.642))","537",DB_WATERKERING,537.PDF#26,537_Plankaart.pdf,"40",DB_WATERKERING,waterkering,waterkering
"POLYGON ((95284.053 441686.325,95284.043631 441686.301407,95284.009968 441686.329962,95277.828133 441691.573864,95284.053 441686.325))","538",DB_WATERKERING,538.PDF#27,538_Plankaart.pdf,"40",DB_WATERKERING,waterkering,waterkering
"POLYGON ((97525.54416 436664.00721,97509.139999 436651.769999,97526.577738 436664.784534,97525.69 436664.11599,97525.54416 436664.00721))","542",DB_HOOFDWATERGANG,542.PDF#24,542_Plankaart.pdf,"15",DB_HOOFDWATERGANG,hoofdwatergang,hoofdwatergang
"POLYGON ((97850.130034 436459.499001,97850.464615 436449.661687,97850.394 436450.30498,97850.130034 436459.499001))","542",DB_HOOFDWATERGANG,542.PDF#24,542_Plankaart.pdf,"15",DB_HOOFDWATERGANG,hoofdwatergang,hoofdwatergang
"POLYGON ((97694.027 436771.898,97676.779884 436589.390085,97691.95398 436750.0,97694.022487 436771.898361,97694.027 436771.898))","542",DB_HOOFDWATERGANG,542.PDF#24,542_Plankaart.pdf,"15",DB_HOOFDWATERGANG,hoofdwatergang,hoofdwatergang
"POLYGON ((97673.509999 436765.229999,97671.949413 436753.760236,97672.24439 436755.9428,97673.50599 436765.233,97674.308435 436771.301175,97673.509999 436765.229999))","542",DB_HOOFDWATERGANG,542.PDF#24,542_Plankaart.pdf,"15",DB_HOOFDWATERGANG,hoofdwatergang,hoofdwatergang
"POLYGON ((97863.439806 436091.773743,97863.44 436091.77,97840.089999 436097.31,97826.56 436100.0,97775.849117 436110.079832,97810.35898 436103.222,97840.091 436097.313,97840.573 436097.199,97863.439806 436091.773743))","542",DB_WATERKERING,542.PDF#23,542_Plankaart.pdf,"40",DB_WATERKERING,waterkering,waterkering
"POLYGON ((93047.770744 442410.441385,93047.741285 442410.393952,93048.504866 442411.713265,93047.770744 442410.441385))","544",DB_ARCH_ERFGOED,544.PDF#22a,544_Plankaart.pdf,"0",DB_ARCH_ERFGOED,archeologie,archeologie
"POLYGON ((95824.453 437881.156,95824.601552 437881.14227,95824.517011 437881.147406,95822.459999 437881.34,95824.453 437881.156))","545",DB_HOOFDWATERGANG,545.PDF#19,545_Plankaart.pdf,"15",DB_HOOFDWATERGANG,hoofdwatergang,hoofdwatergang
