WKT,PLANID,LAAG
"LINESTRING (91386.037782 434149.446292,91384.377915 434145.284156)","574",ALG_CODERINGEN
"LINESTRING (88207.404224 440283.483919,88206.009982 440281.601607)","646",ALG_CODERINGEN
"LINESTRING (95032.658998 434033.515148,95032.410352 434034.989497,95035.505899 434036.401453)","632",ALG_CODERINGEN
"LINESTRING (91246.513468 433568.438263,91248.867599 433567.45652,91252.25307 433575.574563)","574",ALG_CODERINGEN
"LINESTRING (89274.678487 431672.853038,89279.545487 431671.706038,89279.185269 431672.903972,89278.825195 431674.100773,89278.464952 431675.297758,89278.104487 431676.495038,89274.678487 431672.853038,89279.185269 431672.903972,89278.825195 431674.100773,89278.464952 431675.297758,89274.678487 431672.853038,89278.825195 431674.100773)","634",ALG_MAATVOERING
"LINESTRING (94679.747653 433651.386131,94679.657775 433659.124811)","598",ALG_CODERINGEN
"LINESTRING (86754.394837 442023.947701,86757.2004 442025.547604)","646",ALG_CODERINGEN
"LINESTRING (94995.273871 433835.289522,95005.707099 433837.724694)","598",ALG_CODERINGEN
"LINESTRING (91716.855243 434609.723083,91727.781215 434613.957889,91722.101009 434628.613052)","574",ALG_CODERINGEN
"LINESTRING (91314.451921 436939.359773,91312.390069 436920.675354)","582",ALG_CODERINGEN
"LINESTRING (90540.722212 436610.45768,90521.59947 436579.98308)","582",ALG_CODERINGEN
"LINESTRING (89825.922789 431251.804692,89827.552181 431255.816849,89834.642031 431273.27163,89836.271629 431277.283144)","634",ALG_MAATVOERING
"LINESTRING (92066.65392 433989.690423,92070.586263 433988.208884)","574",ALG_CODERINGEN
"LINESTRING (91149.791561 432364.084187,91150.287513 432366.608904,91149.153616 432367.429824)","577",ALG_CODERINGEN
"LINESTRING (94521.903858 435719.452311,94523.253581 435717.241986)","687",ALG_CODERINGEN
"LINESTRING (94758.163339 435673.266598,94756.839461 435670.667301)","687",ALG_CODERINGEN
"LINESTRING (94055.138798 433786.969652,94062.295634 433786.970135)","598",ALG_CODERINGEN
"LINESTRING (91752.760373 433795.073546,91747.444917 433787.455864)","574",ALG_CODERINGEN
"LINESTRING (91701.70529 434655.790451,91706.837659 434642.548731,91704.486972 434641.637626)","574",ALG_CODERINGEN
"LINESTRING (91783.314568 433553.216423,91776.111183 433546.280196,91778.513343 433545.587646)","574",ALG_MAATVOERING
"LINESTRING (90924.187591 436073.194535,90935.188225 436047.887228)","582",ALG_CODERINGEN
"LINESTRING (94645.124516 436249.018108,94648.199699 436248.728976)","687",ALG_CODERINGEN
"LINESTRING (91265.955924 433817.783686,91264.296056 433813.62155)","574",ALG_CODERINGEN
"LINESTRING (94871.084746 434198.743682,94867.610418 434199.325205,94867.357477 434200.760633)","632",ALG_CODERINGEN
"LINESTRING (88450.669891 439874.474363,88448.234557 439872.829554)","646",ALG_CODERINGEN
"LINESTRING (91257.349324 436431.41264,91261.585987 436417.46686)","582",ALG_CODERINGEN
