WKT,PLANID,LAAG,TEKST,SYMBOOL,ROTATIE,OID_,SYMBOOL_1,LEGENDA,LAAG_1
"POINT (90514.761081 436879.623338)","582",A_BELHUIS_TOEGEST,,Belhuis,"3.0963","0",,,
"POINT (90341.750105 436887.464061)","582",A_BELHUIS_TOEGEST,,Belhuis,"6.2440","0",,,
"POINT (90534.149278 436888.992969)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90639.116342 436889.209127)","582",A_BELHUIS_TOEGEST,,Belhuis,"3.3864","0",,,
"POINT (90306.63657 436890.446814)","582",A_BELHUIS_TOEGEST,,Belhuis,"6.2440","0",,,
"POINT (91381.080392 436897.944575)","582",A_SEKSINR_TOEGEST,,Seksinrichting,"4.7420","0",,,
"POINT (90280.01702 436907.655187)","582",A_DAK,,Plat afgedekt,"2.0455","0",,,
"POINT (90702.043408 436909.125388)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90803.325214 436912.420502)","582",A_KANTOOR_TOEGEST,"1",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90802.731398 436913.321529)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90151.318398 436921.98424)","582",A_DAK,,Plat afgedekt,"2.0455","0",,,
"POINT (90253.820536 436933.324473)","582",A_DAK,,Plat afgedekt,"2.0455","0",,,
"POINT (90925.057366 436933.673536)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90925.057366 436933.673536)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90927.668517 436935.21003)","582",A_KANTOOR_TOEGEST,"1",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90760.127566 436937.352426)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (91142.997184 436937.718128)","582",A_SEKSINR_TOEGEST,,Seksinrichting,"4.7420","0",,,
"POINT (90130.040202 436940.793354)","582",A_DAK,,Plat afgedekt,"2.0455","0",,,
"POINT (90770.957131 436940.832427)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90776.231634 436943.363336)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90148.783018 436943.9688)","582",A_BELHUIS_TOEGEST,,Belhuis,"3.6145","0",,,
"POINT (90787.031362 436950.443691)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (91180.001496 436965.22646)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (91182.294774 436967.094822)","582",A_KANTOOR_TOEGEST,"1",,"4.6735","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90249.081562 436969.779792)","582",A_DAK,,Plat afgedekt,"2.0455","0",,,
"POINT (90823.52025 436979.264721)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90825.50842 436980.821596)","582",A_KANTOOR_TOEGEST,"2",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90823.925248 436986.789619)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90825.766145 436988.346494)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90144.17055 436989.560569)","582",A_DAK,,Plat afgedekt,"4.8808","0",,,
"POINT (90823.925248 436993.795558)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90826.097507 436995.248642)","582",A_KANTOOR_TOEGEST,"4",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90933.563585 436996.835565)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
